
labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:122, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:123, scores: [1.0, 1.0, 0.9848484848484849, 0.9389312977099237, 1.0, 1.0, 0.9949744049694866, 0.9806201415103365]
file_idx:124, scores: [0.9850746268656716, 0.9699248120300752, 0.9545454545454546, 0.9389312977099237, 0.9850746268656716, 0.9774703690129348, 0.9700659466450668, 0.961965303348603]
file_idx:125, scores: [0.9861111111111112, 0.972027972027972, 0.9577464788732394, 0.9290780141843972, 0.9861111111111112, 0.9790442193933753, 0.9721699864627762, 0.9610076404371352]
file_idx:126, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:127, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:128, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:129, scores: [0.9930555555555556, 0.986013986013986, 0.9788732394366197, 0.9574468085106383, 0.9930555555555556, 0.9895285072531598, 0.9861033069247136, 0.9787559902375745]
file_idx:130, scores: [0.9930555555555556, 0.986013986013986, 0.9788732394366197, 0.9574468085106383, 0.9930555555555556, 0.9895285072531598, 0.9861033069247136, 0.9787559902375745]
file_idx:131, scores: [0.7638888888888888, 0.7464788732394366, 0.7285714285714285, 0.7101449275362319, 0.7638888888888888, 0.7551337080662622, 0.748361695926105, 0.7369986796816678]
file_idx:132, scores: [0.989010989010989, 0.9777777777777777, 0.9662921348314607, 0.9545454545454546, 0.989010989010989, 0.9833783437888832, 0.9778706449027587, 0.9718216827736128]
file_idx:133, scores: [0.9925373134328358, 0.9849624060150376, 0.9772727272727273, 0.9618320610687023, 0.9925373134328358, 0.9887426056858819, 0.9850542547705979, 0.9790849648757637]
file_idx:134, scores: [0.9850746268656716, 0.9699248120300752, 0.9545454545454546, 0.9312977099236641, 0.9850746268656716, 0.9774703690129348, 0.9700659466450668, 0.9600040998696211]
file_idx:135, scores: [0.9784172661870504, 0.9565217391304348, 0.9343065693430657, 0.9044117647058824, 0.9784172661870504, 0.9674075589163458, 0.9566735290317248, 0.943015084149928]
